data,date,depth,latitude,longitude,station,time,units,jday
42.5,5/3/08,1,43.161833,-69.576667,56,6:08:00,cell/L,3045.255556
3,5/3/08,10,43.161833,-69.576667,56,6:08:00,cell/L,3045.255556
3,5/3/08,20,43.161833,-69.576667,56,6:08:00,cell/L,3045.255556
4,5/3/08,30,43.161833,-69.576667,56,6:08:00,cell/L,3045.255556
0,5/3/08,40,43.161833,-69.576667,56,6:08:00,cell/L,3045.255556
20,5/3/08,1,43.262667,-69.634,57,7:00:00,cell/L,3045.291667
30,5/3/08,10,43.262667,-69.634,57,7:00:00,cell/L,3045.291667
1,5/3/08,20,43.262667,-69.634,57,7:00:00,cell/L,3045.291667
0,5/3/08,30,43.262667,-69.634,57,7:00:00,cell/L,3045.291667
0,5/3/08,40,43.262667,-69.634,57,7:00:00,cell/L,3045.291667
0,5/3/08,50,43.262667,-69.634,57,7:00:00,cell/L,3045.291667
36,5/3/08,1,43.364167,-69.694,58,8:01:00,cell/L,3045.334028
10,5/3/08,10,43.364167,-69.694,58,8:01:00,cell/L,3045.334028
4,5/3/08,20,43.364167,-69.694,58,8:01:00,cell/L,3045.334028
3,5/3/08,30,43.364167,-69.694,58,8:01:00,cell/L,3045.334028
0,5/3/08,40,43.364167,-69.694,58,8:01:00,cell/L,3045.334028
0,5/3/08,50,43.364167,-69.694,58,8:01:00,cell/L,3045.334028
182,5/3/08,1,43.4625,-69.753333,59,8:57:00,cell/L,3045.372917
2,5/3/08,10,43.4625,-69.753333,59,8:57:00,cell/L,3045.372917
2,5/3/08,20,43.4625,-69.753333,59,8:57:00,cell/L,3045.372917
2,5/3/08,30,43.4625,-69.753333,59,8:57:00,cell/L,3045.372917
64,5/3/08,1,43.562833,-69.8145,60,9:55:00,cell/L,3045.413194
1,5/3/08,10,43.562833,-69.8145,60,9:55:00,cell/L,3045.413194
1,5/3/08,20,43.562833,-69.8145,60,9:55:00,cell/L,3045.413194
1,5/3/08,30,43.562833,-69.8145,60,9:55:00,cell/L,3045.413194
5,5/3/08,1,43.663,-69.869833,61,10:43:00,cell/L,3045.446528
1,5/3/08,10,43.663,-69.869833,61,10:43:00,cell/L,3045.446528
0,5/3/08,20,43.663,-69.869833,61,10:43:00,cell/L,3045.446528
4,5/3/08,1,43.6995,-69.896667,62,11:10:00,cell/L,3045.465278
3,5/3/08,10,43.6995,-69.896667,62,11:10:00,cell/L,3045.465278
62,5/3/08,1,43.275833,-70.523333,63,16:52:00,cell/L,3045.702778
3,5/3/08,10,43.275833,-70.523333,63,16:52:00,cell/L,3045.702778
2,5/3/08,20,43.275833,-70.523333,63,16:52:00,cell/L,3045.702778
140,5/3/08,1,43.228833,-70.410333,64,17:40:00,cell/L,3045.736111
4,5/3/08,10,43.228833,-70.410333,64,17:40:00,cell/L,3045.736111
5,5/3/08,20,43.228833,-70.410333,64,17:40:00,cell/L,3045.736111
1,5/3/08,30,43.228833,-70.410333,64,17:40:00,cell/L,3045.736111
18,5/3/08,1,43.176667,-70.2805,65,19:46:00,cell/L,3045.823611
19,5/3/08,10,43.176667,-70.2805,65,19:46:00,cell/L,3045.823611
10,5/3/08,20,43.176667,-70.2805,65,19:46:00,cell/L,3045.823611
0,5/3/08,30,43.176667,-70.2805,65,19:46:00,cell/L,3045.823611
51,5/3/08,1,43.122833,-70.152,66,20:41:00,cell/L,3045.861806
7,5/3/08,10,43.122833,-70.152,66,20:41:00,cell/L,3045.861806
0,5/3/08,20,43.122833,-70.152,66,20:41:00,cell/L,3045.861806
0,5/3/08,30,43.122833,-70.152,66,20:41:00,cell/L,3045.861806
50,5/3/08,1,43.070833,-70.022,67,21:33:00,cell/L,3045.897917
30,5/3/08,10,43.070833,-70.022,67,21:33:00,cell/L,3045.897917
0,5/3/08,20,43.070833,-70.022,67,21:33:00,cell/L,3045.897917
0,5/3/08,30,43.070833,-70.022,67,21:33:00,cell/L,3045.897917
39,5/3/08,1,43.017167,-69.893,68,22:32:00,cell/L,3045.938889
20,5/3/08,10,43.017167,-69.893,68,22:32:00,cell/L,3045.938889
0,5/3/08,20,43.017167,-69.893,68,22:32:00,cell/L,3045.938889
0,5/3/08,30,43.017167,-69.893,68,22:32:00,cell/L,3045.938889
23,5/3/08,1,42.964333,-69.7645,69,23:31:00,cell/L,3045.979861
28,5/3/08,10,42.964333,-69.7645,69,23:31:00,cell/L,3045.979861
0,5/3/08,20,42.964333,-69.7645,69,23:31:00,cell/L,3045.979861
0,5/3/08,30,42.964333,-69.7645,69,23:31:00,cell/L,3045.979861